year,NEBRASKA FEMALE/Predictions
1994,329
1996,383
1998,292
2000,379
2002,287
2004,426
2006,339
2008,453
2010,268
2012,412
2014,293
2016,474
2018,362
2020,471
2022,417
2024,423
2026,430
2028,436
2030,442
