year,VERMONT FEMALE/Predictions
1994,114
1996,139
1998,119
2000,159
2002,140
2004,168
2006,143
2008,162
2010,138
2012,162
2014,112
2016,161
2018,141
2020,178
2022,160
2024,163
2026,165
2028,167
2030,169
