year,IOWA FEMALE/Predictions
1994,579
1996,668
1998,574
2000,703
2002,560
2004,814
2006,635
2008,801
2010,599
2012,816
2014,634
2016,781
2018,675
2020,833
2022,782
2024,794
2026,806
2028,819
2030,831
