year,OREGON BLACK/Predictions
1994,18
1996,34
1998,1119
2000,17
2002,28
2004,21
2006,16
2008,34
2010,25
2012,26
2014,14
2016,23
2018,41
2020,39
2022,-52
2024,-73
2026,-94
2028,-115
2030,-136
