year,NEBRASKA HISPANIC ORIGIN/Predictions
1994,1
1996,6
1998,13
2000,15
2002,9
2004,19
2006,13
2008,24
2010,12
2012,21
2014,13
2016,37
2018,34
2020,27
2022,32
2024,34
2026,36
2028,38
2030,40
