year,NEW MEXICO WHITE/Predictions
1994,509
1996,580
1998,210
2000,581
2002,480
2004,715
2006,641
2008,748
2010,499
2012,789
2014,546
2016,620
2018,616
2020,812
2022,740
2024,760
2026,779
2028,798
2030,818
