year,NEW HAMPSHIRE BLACK/Predictions
1994,0
1996,3
1998,351
2000,9
2002,0
2004,1
2006,3
2008,4
2010,4
2012,6
2014,4
2016,5
2018,2
2020,4
2022,-22
2024,-29
2026,-35
2028,-42
2030,-49
