year,LOUISIANA HISPANIC ORIGIN/Predictions
1994,15
1996,13
1998,450
2000,22
2002,38
2004,16
2006,31
2008,32
2010,16
2012,48
2014,31
2016,82
2018,35
2020,72
2022,27
2024,22
2026,18
2028,13
2030,8
