year,TEXAS TOTAL/Predictions
1994,4964
1996,6210
1998,4636
2000,7005
2002,5283
2004,7950
2006,5526
2008,8435
2010,5600
2012,8643
2014,5836
2016,9626
2018,8886
2020,11874
2022,9956
2024,10327
2026,10698
2028,11068
2030,11439
