year,TENNESSEE BLACK/Predictions
1994,198
1996,401
1998,1225
2000,344
2002,222
2004,334
2006,268
2008,405
2010,242
2012,441
2014,244
2016,402
2018,368
2020,592
2022,366
2024,361
2026,356
2028,350
2030,345
