year,CONNECTICUT WHITE/Predictions
1994,1191
1996,1311
1998,49
2000,1178
2002,1041
2004,1369
2006,1117
2008,1455
2010,1096
2012,1352
2014,1065
2016,1378
2018,1193
2020,1392
2022,1379
2024,1409
2026,1439
2028,1469
2030,1498
