year,DISTRICT OF COLUMBIA FEMALE/Predictions
1994,141
1996,134
1998,106
2000,153
2002,125
2004,152
2006,108
2008,174
2010,116
2012,196
2014,129
2016,212
2018,172
2020,248
2022,202
2024,209
2026,215
2028,221
2030,228
