year,SOUTH CAROLINA FEMALE/Predictions
1994,636
1996,819
1998,734
2000,973
2002,714
2004,1037
2006,771
2008,1175
2010,922
2012,1247
2014,815
2016,1241
2018,1007
2020,1302
2022,1235
2024,1272
2026,1309
2028,1346
2030,1383
