year,UNITED STATES MALE/Predictions
1994,40716
1996,48909
1998,39391
2000,51542
2002,41801
2004,58455
2006,45118
2008,60729
2010,45392
2012,61551
2014,43009
2016,63801
2018,56964
2020,72474
2022,64273
2024,65892
2026,67511
2028,69130
2030,70749
