year,KENTUCKY BLACK/Predictions
1994,43
1996,107
1998,1255
2000,121
2002,76
2004,140
2006,86
2008,128
2010,76
2012,125
2014,117
2016,159
2018,131
2020,140
2022,56
2024,38
2026,20
2028,2
2030,-15
