year,MONTANA WHITE/Predictions
1994,368
1996,413
1998,2
2000,392
2002,350
2004,461
2006,413
2008,447
2010,359
2012,461
2014,380
2016,492
2018,494
2020,572
2022,534
2024,552
2026,570
2028,588
2030,606
