year,OREGON FEMALE/Predictions
1994,740
1996,776
1998,601
2000,817
2002,713
2004,1013
2006,851
2008,983
2010,813
2012,1004
2014,852
2016,990
2018,1006
2020,1258
2022,1117
2024,1148
2026,1179
2028,1209
2030,1240
