year,MISSOURI HISPANIC ORIGIN/Predictions
1994,0
1996,26
1998,117
2000,13
2002,12
2004,35
2006,46
2008,20
2010,24
2012,63
2014,15
2016,50
2018,47
2020,95
2022,57
2024,60
2026,62
2028,64
2030,67
