year,KENTUCKY HISPANIC ORIGIN/Predictions
1994,6
1996,3
1998,51
2000,17
2002,5
2004,16
2006,11
2008,13
2010,2
2012,13
2014,23
2016,38
2018,12
2020,26
2022,21
2024,22
2026,22
2028,23
2030,24
