year,TEXAS HISPANIC ORIGIN/Predictions
1994,740
1996,1060
1998,572
2000,1300
2002,982
2004,1533
2006,945
2008,1697
2010,1012
2012,1890
2014,1092
2016,1938
2018,1918
2020,2972
2022,2277
2024,2394
2026,2510
2028,2627
2030,2743
