year,NEBRASKA MALE/Predictions
1994,301
1996,337
1998,248
2000,331
2002,259
2004,367
2006,295
2008,391
2010,244
2012,386
2014,286
2016,419
2018,314
2020,421
2022,376
2024,382
2026,388
2028,395
2030,401
