year,WYOMING WHITE/Predictions
1994,208
1996,227
1998,5
2000,217
2002,195
2004,241
2006,195
2008,242
2010,182
2012,240
2014,164
2016,260
2018,214
2020,265
2022,247
2024,252
2026,258
2028,264
2030,270
