year,COLORADO FEMALE/Predictions
1994,610
1996,850
1998,798
2000,829
2002,749
2004,1081
2006,925
2008,1185
2010,955
2012,1316
2014,1152
2016,1410
2018,1198
2020,1482
2022,1461
2024,1517
2026,1574
2028,1630
2030,1686
