year,RHODE ISLAND BLACK/Predictions
1994,12
1996,10
1998,340
2000,13
2002,11
2004,17
2006,17
2008,27
2010,12
2012,30
2014,16
2016,34
2018,16
2020,37
2022,5
2024,0
2026,-4
2028,-9
2030,-14
