year,CONNECTICUT TOTAL/Predictions
1994,1263
1996,1409
1998,1106
2000,1332
2002,1134
2004,1524
2006,1220
2008,1610
2010,1215
2012,1568
2014,1195
2016,1586
2018,1370
2020,1681
2022,1537
2024,1559
2026,1581
2028,1603
2030,1625
