year,MISSISSIPPI TOTAL/Predictions
1994,826
1996,1069
1998,793
2000,1213
2002,855
2004,1263
2006,879
2008,1439
2010,983
2012,1588
2014,907
2016,1470
2018,1180
2020,1531
2022,1434
2024,1473
2026,1512
2028,1551
2030,1590
