year,OREGON HISPANIC ORIGIN/Predictions
1994,20
1996,16
1998,16
2000,33
2002,21
2004,36
2006,42
2008,39
2010,35
2012,60
2014,62
2016,122
2018,93
2020,105
2022,104
2024,111
2026,118
2028,126
2030,133
