year,IOWA HISPANIC ORIGIN/Predictions
1994,7
1996,6
1998,4
2000,19
2002,12
2004,12
2006,4
2008,20
2010,10
2012,30
2014,11
2016,23
2018,69
2020,40
2022,41
2024,44
2026,46
2028,49
2030,52
