year,NEW JERSEY BLACK/Predictions
1994,228
1996,412
1998,1785
2000,369
2002,287
2004,462
2006,267
2008,475
2010,390
2012,540
2014,276
2016,469
2018,472
2020,606
2022,409
2024,396
2026,384
2028,372
2030,359
