year,WASHINGTON WHITE/Predictions
1994,1755
1996,2306
1998,31
2000,2400
2002,1974
2004,2497
2006,2132
2008,2762
2010,2479
2012,2696
2014,2088
2016,3027
2018,2736
2020,3309
2022,3187
2024,3306
2026,3424
2028,3543
2030,3661
