year,NORTH CAROLINA HISPANIC ORIGIN/Predictions
1994,8
1996,10
1998,487
2000,22
2002,22
2004,27
2006,9
2008,77
2010,80
2012,95
2014,53
2016,186
2018,104
2020,240
2022,136
2024,141
2026,146
2028,151
2030,155
