year,ARIZONA FEMALE/Predictions
1994,659
1996,857
1998,606
2000,871
2002,706
2004,1205
2006,980
2008,1306
2010,1095
2012,1219
2014,961
2016,1496
2018,1512
2020,1996
2022,1694
2024,1773
2026,1852
2028,1930
2030,2009
