year,NEVADA BLACK/Predictions
1994,29
1996,24
1998,396
2000,44
2002,30
2004,56
2006,41
2008,105
2010,48
2012,101
2014,61
2016,110
2018,65
2020,136
2022,85
2024,84
2026,84
2028,83
2030,83
