year,NEW YORK TOTAL/Predictions
1994,6158
1996,6830
1998,5568
2000,7004
2002,5417
2004,7698
2006,5402
2008,7559
2010,5746
2012,7675
2014,4680
2016,7869
2018,6775
2020,8609
2022,7355
2024,7450
2026,7545
2028,7641
2030,7736
