year,KANSAS BLACK/Predictions
1994,25
1996,53
1998,733
2000,63
2002,46
2004,53
2006,36
2008,62
2010,34
2012,54
2014,53
2016,54
2018,58
2020,59
2022,5
2024,-7
2026,-19
2028,-32
2030,-44
