year,MASSACHUSETTS WHITE/Predictions
1994,2235
1996,2438
1998,30
2000,2590
2002,2179
2004,2880
2006,2274
2008,2787
2010,2304
2012,3009
2014,2117
2016,2919
2018,2397
2020,2936
2022,2929
2024,3004
2026,3079
2028,3155
2030,3230
