year,ILLINOIS TOTAL/Predictions
1994,3685
1996,4779
1998,3857
2000,5030
2002,4014
2004,5672
2006,3968
2008,5436
2010,3994
2012,5428
2014,3734
2016,5719
2018,4740
2020,6058
2022,5408
2024,5499
2026,5591
2028,5682
2030,5774
