year,SOUTH DAKOTA BLACK/Predictions
1994,1
1996,1
1998,262
2000,1
2002,2
2004,0
2006,0
2008,2
2010,1
2012,0
2014,3
2016,3
2018,1
2020,4
2022,-17
2024,-22
2026,-27
2028,-32
2030,-37
