year,DELAWARE WHITE/Predictions
1994,189
1996,239
1998,3
2000,284
2002,211
2004,322
2006,220
2008,324
2010,252
2012,336
2014,229
2016,319
2018,264
2020,348
2022,340
2024,352
2026,363
2028,375
2030,387
