year,TEXAS BLACK/Predictions
1994,426
1996,681
1998,4020
2000,803
2002,774
2004,931
2006,655
2008,1194
2010,770
2012,1352
2014,777
2016,1349
2018,1203
2020,1521
2022,1154
2024,1151
2026,1148
2028,1145
2030,1142
