year,SOUTH DAKOTA WHITE/Predictions
1994,313
1996,323
1998,2
2000,298
2002,360
2004,366
2006,346
2008,372
2010,304
2012,341
2014,259
2016,340
2018,305
2020,351
2022,352
2024,358
2026,364
2028,370
2030,376
