year,DELAWARE HISPANIC ORIGIN/Predictions
1994,3
1996,6
1998,28
2000,8
2002,5
2004,12
2006,4
2008,7
2010,6
2012,10
2014,5
2016,14
2018,20
2020,20
2022,14
2024,15
2026,15
2028,16
2030,16
