year,CONNECTICUT FEMALE/Predictions
1994,665
1996,761
1998,554
2000,727
2002,620
2004,820
2006,648
2008,851
2010,638
2012,856
2014,607
2016,868
2018,708
2020,915
2022,821
2024,833
2026,845
2028,857
2030,870
