year,OKLAHOMA TOTAL/Predictions
1994,1089
1996,1379
1998,973
2000,1431
2002,1201
2004,1541
2006,1174
2008,1507
2010,1061
2012,1431
2014,920
2016,1555
2018,1350
2020,1631
2022,1442
2024,1460
2026,1479
2028,1497
2030,1516
