year,WYOMING MALE/Predictions
1994,102
1996,110
1998,93
2000,105
2002,92
2004,122
2006,94
2008,118
2010,94
2012,118
2014,85
2016,139
2018,107
2020,132
2022,119
2024,121
2026,122
2028,124
2030,125
