year,MARYLAND WHITE/Predictions
1994,1324
1996,1508
1998,21
2000,1444
2002,1336
2004,1733
2006,1513
2008,1725
2010,1233
2012,1711
2014,1345
2016,1727
2018,1536
2020,1917
2022,1817
2024,1868
2026,1919
2028,1970
2030,2021
