year,NEW JERSEY MALE/Predictions
1994,1161
1996,1556
1998,1038
2000,1602
2002,1178
2004,1676
2006,1121
2008,1708
2010,1090
2012,1676
2014,969
2016,1668
2018,1577
2020,2193
2022,1710
2024,1746
2026,1782
2028,1817
2030,1853
