year,NEW JERSEY TOTAL/Predictions
1994,2426
1996,3251
1998,2152
2000,3374
2002,2504
2004,3693
2006,2406
2008,3637
2010,2383
2012,3670
2014,2151
2016,3665
2018,3384
2020,4638
2022,3728
2024,3812
2026,3897
2028,3981
2030,4065
