year,MISSISSIPPI FEMALE/Predictions
1994,422
1996,575
1998,464
2000,678
2002,472
2004,725
2006,500
2008,790
2010,558
2012,877
2014,493
2016,813
2018,650
2020,850
2022,798
2024,821
2026,843
2028,865
2030,887
