year,OKLAHOMA HISPANIC ORIGIN/Predictions
1994,10
1996,11
1998,68
2000,21
2002,29
2004,25
2006,17
2008,33
2010,19
2012,36
2014,28
2016,50
2018,71
2020,75
2022,58
2024,61
2026,64
2028,68
2030,71
