year,FLORIDA MALE/Predictions
1994,2168
1996,2530
1998,1994
2000,2740
2002,2442
2004,3375
2006,2538
2008,3677
2010,2623
2012,3727
2014,2840
2016,3920
2018,3648
2020,4563
2022,4156
2024,4303
2026,4450
2028,4597
2030,4743
