year,WASHINGTON BLACK/Predictions
1994,25
1996,38
1998,1810
2000,39
2002,48
2004,67
2006,25
2008,57
2010,47
2012,72
2014,53
2016,78
2018,103
2020,130
2022,-34
2024,-63
2026,-92
2028,-122
2030,-151
