year,VERMONT TOTAL/Predictions
1994,212
1996,258
1998,229
2000,290
2002,256
2004,316
2006,273
2008,308
2010,265
2012,308
2014,205
2016,305
2018,273
2020,342
2022,308
2024,313
2026,317
2028,322
2030,327
