year,HAWAII FEMALE/Predictions
1994,206
1996,194
1998,210
2000,186
2002,190
2004,237
2006,209
2008,235
2010,203
2012,255
2014,202
2016,245
2018,234
2020,317
2022,265
2024,270
2026,276
2028,282
2030,287
