year,ARIZONA BLACK/Predictions
1994,29
1996,51
1998,1073
2000,36
2002,41
2004,66
2006,35
2008,95
2010,76
2012,95
2014,66
2016,121
2018,104
2020,179
2022,57
2024,45
2026,33
2028,21
2030,9
