year,WASHINGTON HISPANIC ORIGIN/Predictions
1994,19
1996,50
1998,16
2000,59
2002,34
2004,44
2006,63
2008,148
2010,77
2012,139
2014,95
2016,219
2018,204
2020,261
2022,227
2024,244
2026,261
2028,278
2030,294
