year,ILLINOIS BLACK/Predictions
1994,581
1996,818
1998,3162
2000,897
2002,590
2004,855
2006,602
2008,784
2010,658
2012,918
2014,535
2016,776
2018,723
2020,811
2022,564
2024,518
2026,472
2028,427
2030,381
