year,NEW MEXICO MALE/Predictions
1994,274
1996,286
1998,289
2000,286
2002,268
2004,392
2006,343
2008,395
2010,271
2012,404
2014,304
2016,342
2018,327
2020,450
2022,391
2024,400
2026,408
2028,416
2030,424
