year,CALIFORNIA BLACK/Predictions
1994,540
1996,773
1998,8225
2000,873
2002,549
2004,1035
2006,608
2008,1073
2010,708
2012,1063
2014,535
2016,856
2018,933
2020,1173
2022,419
2024,294
2026,170
2028,45
2030,-78
