year,WISCONSIN MALE/Predictions
1994,895
1996,1130
1998,912
2000,1266
2002,1005
2004,1449
2006,1102
2008,1403
2010,1059
2012,1460
2014,1140
2016,1468
2018,1328
2020,1533
2022,1488
2024,1523
2026,1559
2028,1594
2030,1629
