year,NORTH CAROLINA MALE/Predictions
1994,891
1996,1352
1998,1044
2000,1361
2002,1183
2004,1626
2006,1180
2008,2006
2010,1378
2012,2103
2014,1428
2016,2181
2018,1822
2020,2185
2022,2168
2024,2251
2026,2333
2028,2415
2030,2497
