year,GEORGIA HISPANIC ORIGIN/Predictions
1994,19
1996,18
1998,700
2000,26
2002,35
2004,26
2006,37
2008,128
2010,46
2012,114
2014,62
2016,161
2018,101
2020,178
2022,100
2024,97
2026,95
2028,93
2030,90
