year,GEORGIA WHITE/Predictions
1994,1402
1996,1897
1998,32
2000,1810
2002,1723
2004,2351
2006,1905
2008,2789
2010,1881
2012,2683
2014,1866
2016,2786
2018,2581
2020,3079
2022,3024
2024,3154
2026,3283
2028,3412
2030,3541
