year,NEW JERSEY HISPANIC ORIGIN/Predictions
1994,98
1996,248
1998,328
2000,179
2002,157
2004,277
2006,165
2008,337
2010,177
2012,395
2014,274
2016,395
2018,471
2020,719
2022,513
2024,541
2026,569
2028,598
2030,626
